name,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
This Magic Moment - Crisp.nl Version,MassiveMusic,spotify:track:6uDlwsguxFDgbakvPyhChp,0.823,0.671,11,-6.437,1,0.0592,0.551,0.00144,0.354,0.662,125.052,audio_features,6uDlwsguxFDgbakvPyhChp,spotify:track:6uDlwsguxFDgbakvPyhChp,https://api.spotify.com/v1/tracks/6uDlwsguxFDgbakvPyhChp,https://api.spotify.com/v1/audio-analysis/6uDlwsguxFDgbakvPyhChp,188697,4
00h00,Hoosky,spotify:track:00LvjMnpznr4MZFSA8x9sA,0.375,0.606,4,-9.383,0,0.197,0.339,0.000924,0.424,0.883,91.564,audio_features,00LvjMnpznr4MZFSA8x9sA,spotify:track:00LvjMnpznr4MZFSA8x9sA,https://api.spotify.com/v1/tracks/00LvjMnpznr4MZFSA8x9sA,https://api.spotify.com/v1/audio-analysis/00LvjMnpznr4MZFSA8x9sA,51373,4
Under My Thumb,The Rolling Stones,spotify:track:3E8gEvhLia6w9lQv3hfxzM,0.738,0.491,6,-13.407,0,0.0487,0.298,0.218,0.119,0.809,126.96,audio_features,3E8gEvhLia6w9lQv3hfxzM,spotify:track:3E8gEvhLia6w9lQv3hfxzM,https://api.spotify.com/v1/tracks/3E8gEvhLia6w9lQv3hfxzM,https://api.spotify.com/v1/audio-analysis/3E8gEvhLia6w9lQv3hfxzM,221533,4
Conquer Me,Jane B,spotify:track:2jjPlj6KFzCffJ7KVQMwHX,0.657,0.488,8,-10.416,0,0.0456,0.213,0.0942,0.36,0.662,149.763,audio_features,2jjPlj6KFzCffJ7KVQMwHX,spotify:track:2jjPlj6KFzCffJ7KVQMwHX,https://api.spotify.com/v1/tracks/2jjPlj6KFzCffJ7KVQMwHX,https://api.spotify.com/v1/audio-analysis/2jjPlj6KFzCffJ7KVQMwHX,216235,4
Dapper (feat. Anderson .Paak),Domo Genesis,spotify:track:3seHx466iTcUmWE9dOVB3v,0.753,0.594,1,-9.486,0,0.0816,0.0711,0.0,0.391,0.562,112.568,audio_features,3seHx466iTcUmWE9dOVB3v,spotify:track:3seHx466iTcUmWE9dOVB3v,https://api.spotify.com/v1/tracks/3seHx466iTcUmWE9dOVB3v,https://api.spotify.com/v1/audio-analysis/3seHx466iTcUmWE9dOVB3v,193093,4
Water Fountain,Tune-Yards,spotify:track:3pndgH9sLDTCWtCwr8LWt9,0.825,0.69,1,-6.234,1,0.065,0.00337,0.00277,0.367,0.589,110.488,audio_features,3pndgH9sLDTCWtCwr8LWt9,spotify:track:3pndgH9sLDTCWtCwr8LWt9,https://api.spotify.com/v1/tracks/3pndgH9sLDTCWtCwr8LWt9,https://api.spotify.com/v1/audio-analysis/3pndgH9sLDTCWtCwr8LWt9,183453,4
Sun Is Shining,Bob Marley & The Wailers,spotify:track:3PPigifoeEofIISQYbayMK,0.784,0.52,0,-8.27,1,0.227,0.121,0.00158,0.146,0.854,72.678,audio_features,3PPigifoeEofIISQYbayMK,spotify:track:3PPigifoeEofIISQYbayMK,https://api.spotify.com/v1/tracks/3PPigifoeEofIISQYbayMK,https://api.spotify.com/v1/audio-analysis/3PPigifoeEofIISQYbayMK,134573,4
Ride A White Swan,T. Rex,spotify:track:3olQaoZDc2O1mFDod0evZI,0.342,0.442,8,-9.782,1,0.0346,0.793,0.000105,0.0758,0.804,147.7,audio_features,3olQaoZDc2O1mFDod0evZI,spotify:track:3olQaoZDc2O1mFDod0evZI,https://api.spotify.com/v1/tracks/3olQaoZDc2O1mFDod0evZI,https://api.spotify.com/v1/audio-analysis/3olQaoZDc2O1mFDod0evZI,132800,4
Whatcha See Is Whatcha Get,The Dramatics,spotify:track:6J7uQ9vLtBqNikEhlKUOnu,0.638,0.708,6,-10.383,1,0.128,0.226,0.0,0.12,0.904,153.144,audio_features,6J7uQ9vLtBqNikEhlKUOnu,spotify:track:6J7uQ9vLtBqNikEhlKUOnu,https://api.spotify.com/v1/tracks/6J7uQ9vLtBqNikEhlKUOnu,https://api.spotify.com/v1/audio-analysis/6J7uQ9vLtBqNikEhlKUOnu,212840,4
In Love With You,Erykah Badu,spotify:track:6uI95ERPZV6tivkNWsOKet,0.72,0.272,9,-12.919,0,0.0683,0.58,0.0,0.145,0.661,132.494,audio_features,6uI95ERPZV6tivkNWsOKet,spotify:track:6uI95ERPZV6tivkNWsOKet,https://api.spotify.com/v1/tracks/6uI95ERPZV6tivkNWsOKet,https://api.spotify.com/v1/audio-analysis/6uI95ERPZV6tivkNWsOKet,322533,4
