,name,artist,cluster
0,This Magic Moment - Crisp.nl Version,MassiveMusic,1
1,00h00,Hoosky,9
2,Under My Thumb,The Rolling Stones,6
3,Conquer Me,Jane B,8
4,Dapper (feat. Anderson .Paak),Domo Genesis,9
5,Water Fountain,Tune-Yards,1
6,Sun Is Shining,Bob Marley & The Wailers,3
7,Ride A White Swan,T. Rex,2
8,Whatcha See Is Whatcha Get,The Dramatics,8
9,In Love With You,Erykah Badu,2
10,Sunday Girl,Blondie,6
11,Two Weeks,Grizzly Bear,8
12,Somebody to Love Me,Mark Ronson,1
13,AH LA LA,Edgar de l'Est,3
14,Gimme Shelter,Merry Clayton,9
15,Sam,Tim Knol,5
16,Intro / Stronger Than Me,Amy Winehouse,6
17,I'm a Steady Rollin' Man,Robert Johnson,5
18,I Think We're Alone Now,Darlyn,5
19,El Muro,Eskorzo Afrobeat Experience,0
20,Rudeboy Shufflin,Israel Vibration,6
21,Big In Japan,Britta Persson,4
22,This Sky,The Derek Trucks Band,4
23,Water No Get Enemy,D'Angelo,0
24,A Deusa Dos Orixás,Clara Nunes,6
25,Jackson (with June Carter Cash),Johnny Cash,1
26,Ghostwriter,RJD2,10
27,Body Music,AlunaGeorge,4
28,Yesterday Was Hard On All Of Us - Radio Edit,Fink,4
29,Carry,Ryan Montbleau,5
30,Intentions,The Whitest Boy Alive,6
31,Can't Stop Now,Major Lazer,1
32,Autumn Sun,Emilíana Torrini,5
33,Ooo Baby Baby,Smokey Robinson & The Miracles,7
34,Come and Get It,Beans & Fatback,1
35,Carmensita,Devendra Banhart,2
36,Such a Night,Dr. John,2
37,Nothing To Worry About,Peter Bjorn and John,1
38,Thieves In The Night,Hot Chip,4
39,Finally Moving,Pretty Lights,10
40,Folsom Prison Blues,Johnny Cash,9
41,Plastic Soul,YACHT,4
42,Wait For Me,Susan Tedeschi,9
43,I Get High On You,Sly Stone,9
44,Roundabout Town,Fabiana Dammers,8
45,My Baby Just Cares for Me,Nina Simone,5
46,Hot In Herre,Jenny Owen Youngs,2
47,Goodnight Moon,Shivaree,1
48,20:20 Vision - Remastered 2011,Rory Gallagher,2
49,Shotgun,Eugene McGuinness,1
50,Estan Llamando,Chico Mann,10
51,Hands To Hold - Original Mix,Bob Moses,0
52,Electric,Go Back To The Zoo,1
53,Man Named Truth,Monsters Of Folk,9
54,Funky Chick,Lefties Soul Connection,8
55,Wish You Were Here,Wyclef Jean,6
56,Stay Useless,Cloud Nothings,8
57,Hit the Waves,The Mary Onettes,1
58,Our Day Will Come,Amy Winehouse,1
59,One Past - OBF Remix,Chinese Man,10
60,Take It Slow (Ferro+Chrome Mix),Joggo,8
61,Afrodiziak,Bran Van 3000,1
62,Youth Dem Cold,Richie Spice,3
63,Saudade,Chinese Man,4
64,Let's Stay Together,Al Green,5
65,Lulu Eiland,Kern Koppen,9
66,Nelson Mandela - 2002 Remastered Version,The Specials,1
67,Habadabariwikidi (The Lovehopper),Urban Heroes,8
68,Diamond Head,The Treble Spankers,8
69,Run Sister Run,Cass McCombs,3
70,Too Young For Me,Jimi Jules,10
71,Faeded - Dub,Prace,10
72,One Man Parade,James Taylor,2
73,Watch Me Dance,Tom Misch,5
74,Efils' God,Eels,10
75,Shout Out Loud,Amos Lee,4
76,Beautiful Strangers,Kevin Morby,2
77,Rude Boys Outa Jail,The Specials,8
78,Red Eyes,The War On Drugs,8
79,Unified,G. Love & Special Sauce,1
80,Nuthin But Love,Jim Morey,2
81,C.L.U.B.,MNDR,1
82,Crazy Sufferin Style,Selah Sue,8
83,Feel Good,Robin Thicke,4
84,Cooler Couleur (feat. Yelle),Crookers,1
85,Vondt i hjertet,Razika,8
86,Piece of the Rock,Mother's Finest,1
87,Remember You (feat. The Weeknd),Wiz Khalifa,3
88,So Bad,Toots & The Maytals,6
89,Summer Breezin',3 Balearos,10
90,Starz In Their Eyes,Just Jack,9
91,What Kind of Cool (Will We Think of Next),Cody Chesnutt,1
92,Não Me Deixe Só,Vanessa Da Mata,6
93,Il est tout pour moi,Françoise Hardy,2
94,Alors On Danse - Radio Edit,Stromae,6
95,I Don't Feel Like Dancin',Scissor Sisters,1
96,Fussball,The Orb,9
97,The Hearse,Wampire,10
98,Buena,Morphine,4
99,D.H.E.A.,Amp Live,9
100,Johnny Reggae,The Piglets,3
101,Way It Goes,Current Swell,2
102,Racing With the Sun - Deluxe Remix,Chinese Man,6
103,Goodnight Irene,Ry Cooder,9
104,Wait a Minute - Extended,Osborne,0
105,You'll Always Find Me In The Kitchen At Parties,Jona Lewie,2
106,Summerbreeze,Johnossi,5
107,Airplanes,Local Natives,8
108,Island - 2007 Remaster,Ben Taylor,5
109,Hasta Siempre,Carlos Puebla,2
110,I Wanna Be Your Telephone,Jamie Lidell,1
111,Grazing In the Grass,The Friends Of Distinction,1
112,The Whole Of The Moon,The Waterboys,9
113,Coeur À Coeur,The Jouby's,3
114,Jayou,Jurassic 5,6
115,1 Thing,Ane Brun,5
116,Grandma's Hands,Bill Withers,2
117,Police In Helicopter,John Holt,8
118,Roll the Dice,The Calimocho Club,1
119,Coming Through,Willis Earl Beal feat. Cat Power,6
120,"You, Me and the Bourgeoisie - (Album Version)",The Submarines,1
121,"Hot Kisses, Cold Tiles",Fergus Brown,8
122,Crime,Mayer Hawthorne,4
123,New World Airlines,DAB,6
124,Independence Day,Elliott Smith,4
125,Cecil Taylor,Jonathan Wilson,5
126,Angel Of The Morning - Original,Joya Landis,8
127,You Know I'm No Good,Amy Winehouse,1
128,C'est La Vie (You Never Can Tell),Pulp No Pulp,8
129,Down On The Corner,Creedence Clearwater Revival,6
130,Son's Gonna Rise,Citizen Cope,1
131,Living for the City,Pat Rhoden,6
132,Ayoba feat. Spoek & Gnucci Banana,Schlachthofbronx,6
133,"Shame, Shame, Shame",Jimmy Reed,2
134,Fresh Feeling,Eels,1
135,Big Iron,Marty Robbins,2
136,Story Book Children,Gregory Isaacs,6
137,trust (hell below),Inc.,10
138,New York,Angel Haze,3
139,I Wish,Stevie Wonder,6
140,"Don't Think Twice, It's All Right",Odetta,5
141,A Girl Called Johnny - 2002 Remastered Version,The Waterboys,1
142,Put it On,Bob Marley & The Wailers,2
143,Move,Little Mix,9
144,Unchained Melody,Al Green,7
145,Who Loves The Sun,The Velvet Underground,9
146,Give It Away,Red Hot Chili Peppers,1
147,The Vagabond,Air,4
148,Little Bit of Feel Good - Snr. Coconut Mix,Jamie Lidell,1
149,Sweet About Me - Radio Edit,Gabriella Cilmi,1
150,Caçada,Chico Buarque,2
151,Slow Down,Twiceyoung,5
152,Night By Night,Chromeo,1
153,Tiger Rag,Swing Republic,6
154,People,The Superimposers,1
155,Funny How Time Slips Away,Al Green,7
156,Amidinine,Bombino,1
157,Dark Waltz,The Men,8
158,One String Play,Brushy One String,1
159,Little Man,Little Dragon,3
160,Pretty Babies,Karen Elson,1
161,Baby Loves Me,Eels,8
162,Be OK,Ingrid Michaelson,1
163,Bang Bang Bang (feat. MNDR),Mark Ronson,1
164,I'm Selfish,Jamie Lidell,1
165,Foolin',Devendra Banhart,8
166,Mr. Dickhead,Palio SuperSpeed Donkey,8
167,Shoot the Runner,Kasabian,8
168,Hold Me Tight,Johnny Nash,2
169,#TWEET - Original Mix,Feral Is Kinky,1
170,Our Racing Hearts,Baskerville,1
171,Wanderlust,The Weeknd,4
172,Drunk Girls,LCD Soundsystem,1
173,Type Normal,Saule,1
174,"Inhale, Exhale",J Rawls featuring Venus Malone & Wordsworth,3
175,Walking in Your Footsteps (Lissvik Remix),Shout Out Louds,1
176,Overloaded,DJ Vadim,3
177,Sunrise,Yeasayer,1
178,"Roots, Rock, Reggae",Bob Marley & The Wailers,1
179,(Don't Fear) The Reaper - Single Version,Blue Öyster Cult,8
180,I Shot The Sheriff,Eric Clapton,6
181,The Drop,The Nextmen,1
182,Have Love Will Travel,The Sonics,8
183,Fyah Fyah,Selah Sue,3
184,Il n'est jamais trop tard,Cheikh Lô,2
185,Fever To The Form,Nick Mulvey,4
186,Marsbar,We Cook With Fire,4
187,Around And Around,Red House Painters,5
188,Purple Rose,Kalabrese,0
189,Down at the Sea Hotel,Guy Davis,7
190,Just Because,Body Language,9
191,Seasun,Delorean,4
192,Rocket Ship,San Cisco,8
193,That Loneliness,Jagwar Ma,1
194,Listen To The Ocean (Escuchando El Oceano),Nina & Frederik,5
195,Domino,Van Morrison,1
196,Racing With The Sun,Ella Jenkins,5
197,Berliner Birds (feat. Steven Craenmehr),Perneau,1
198,If You Could Read My Mind,Gordon Lightfoot,5
199,Here Now,Sean Bones,1
200,Love Me Or Leave Me,Gregory Isaacs,3
201,Weltareh - Vocal Mix,Freeform Five,0
202,Back to Where I'm From,Joshua Radin,8
203,Do Yourself A Faver,Jamie Lidell,1
204,Days Like These,The Cat Empire,1
205,New Fabled Stories,Giorgio Tuma,2
206,Riverbed,Morcheeba,10
207,Le vent nous portera,Noir Désir,2
208,Hey You!,THESHINING,1
209,Singin' In Chains,MY BABY,7
210,Mama Told Me Not to Come,Randy Newman,2
211,Invisible Empire,KT Tunstall,5
212,Giving It All,Bondax,1
213,Flashed Junk Mind,Milky Chance,1
214,Say That,Toro y Moi,4
215,Black Part Love,Selah Sue,1
216,Jealous Guy - Studio Version,Donny Hathaway,9
217,How to Fight Loneliness,Wilco,5
218,Lights & Music,Cut Copy,9
219,Coming Up - Remastered 2011,Paul McCartney,1
220,Don't Mess With My Man,Lucy Pearl,1
221,Ghetto Pop Life,Jemini,9
222,What Doesn't Kill You,Jake Bugg,1
223,Love Vibration,Joe Simon,6
224,Watching You,Ayọ,5
225,Save Room,John Legend,4
226,Innercity Lady (Upgrade Mix),Gregory Isaacs,6
227,Herbalist (feat. Top Cat),Mungo's Hi Fi,3
228,She's So Cold,The Rolling Stones,6
229,Send Me On My Way,Rusted Root,1
230,Bang A Gong (Get It On) (Electric Boogie Mix),T. Rex,0
231,Ghost Town,The Specials,1
232,December Wine,David Philips,2
233,Nigeria What?,Debruit,10
